seller_id,pedidos,media_dias_atraso,percentual_atraso
b33e7c55446eabf8fe1a42d037ac7d6d,152,1.09,11.41
903037660cf848a717166eb7a06d616e,45,1.59,11.36
99a54764c341d5dc80b4a8fac4eba3fb,45,0.38,11.36
406822777a0b9eb5c50e442dd4cd3ec5,45,0.89,11.36
5058e8c1e82653974541e83690655b4a,63,1.48,11.29
e62b2d6ac10570a035a30bafcf01d263,62,1.62,11.29
f46490624488d3ff7ce78613913a7711,83,0.69,11.25
2eb70248d66e0e3ef83659f71b244378,202,0.99,11.23
59b22a78efb79a4797979612b885db36,125,0.95,11.20
972d0f9cf61b499a4812cf0bfa3ad3c4,83,1.00,11.11
99eaacc9e6046db1c82b163c5f84869f,66,0.82,11.11
1f1bb1f0859883505541bdd6606193e5,27,0.34,11.11
c3867b4666c7d76867627c2f7fb22e21,245,1.32,10.96
056b4ada5bbc2c50cc7842547dda6b51,65,2.38,10.94
a416b6a846a11724393025641d4edd5e,162,0.63,10.83
5b8154610ebb21fb90eb587365e673df,38,1.40,10.81
0176f73cc1195f367f7b32db1e5b3aa8,38,1.68,10.81
14d7985702e72162bbf13b6beb74ab2b,37,1.95,10.81
8b28d096634035667e8263d57ba3368c,143,2.17,10.79
643214e62b870443ccbe55ab29a4dccf,66,0.35,10.77
3ade81dab5a172b88e1871c28ae05260,30,1.10,10.71
f12ff17ad8bbf01ec5c33b17e506649b,29,1.07,10.71
c0563dd588b775f2e37747ef6ad6c92c,28,0.54,10.71
3db66a856d18a9cba7c9241fc5221c50,94,0.53,10.64
4c498c7345e89aebad651544829beca0,48,0.60,10.64
0dd184061fb0eaa7ca37932c68ab91c5,161,1.16,10.56
897060da8b9a21f655304d50fd935913,317,1.10,10.53
0cbcee27c791afa0cdcb08587a2013a8,39,0.60,10.53
4c8b8048e33af2bf94f2eb547746a916,23,2.48,10.53
52f0fe436a347ddad7ed5f9aa4e27eaa,21,1.10,10.53
784ba75dd9d20200c4caed3d7a77141a,21,0.45,10.53
ef2fbc2b607d8492bcffe657a4645434,20,0.19,10.53
4869f7a5dfa277a7dca6462dcf3b52b2,1132,0.97,10.50
f0b47fbbc6dee9aafe415a6e33051b3f,68,0.26,10.45
a673821011d0cec28146ea42f5ab767f,129,1.28,10.40
